Capacity, Group 1 Calls Blocked,Group 2 Calls Blocked,Group 1 Calls Dropped,Group 2 Calls Dropped
29,0.5383157382206145,0.289783834016006,1.1113649717753183e-07,1.2351321004891619e-14
30,0.5383157522651579,0.2897838491368028,3.042004211502782e-08,9.253789622800678e-16
31,0.5383157559498759,0.28978385310388466,7.98099137056839e-09,6.369622325708682e-17
32,0.5383157568778911,0.289783854103014,2.0100564140084386e-09,4.0403267874964135e-18
33,0.5383157571025838,0.28978385434492315,4.866722996322785e-10,2.368499272293646e-19
34,0.538315757154955,0.2897838544013061,1.1343023699133637e-10,1.2866418663910361e-20
35,0.538315757166722,0.2897838544139736,2.5482272022572824e-11,6.493461874323731e-22
36,0.5383157571692743,0.28978385441672,5.524415979848891e-12,3.051917191840831e-23
37,0.5383157571698114,0.2897838544172969,1.1570868860561313e-12,1.3388500618829962e-24
38,0.5383157571699214,0.2897838544174144,2.343915889102492e-13,5.493941695186755e-26
39,0.5383157571699433,0.28978385441743776,4.5967841487447196e-14,2.1130424510149112e-27
40,0.538315757169948,0.28978385441744237,8.736109866420943e-15,7.631961559817081e-29
41,0.5383157571699482,0.28978385441744275,1.6103775848057461e-15,2.593315965644559e-30
42,0.5383157571699482,0.2897838544174428,2.8817493829172265e-16,8.304479505943082e-32
43,0.5383157571699482,0.2897838544174428,5.0102296288265784e-17,2.510240093356956e-33
44,0.5383157571699482,0.2897838544174428,8.469703746074654e-18,7.173588154626516e-35
45,0.5383157571699482,0.2897838544174428,1.3931811505111165e-18,1.9409537181393087e-36
46,0.5383157571699482,0.2897838544174428,2.2314124313144316e-19,4.979201438624154e-38
47,0.5383157571699482,0.2897838544174428,3.482367673690744e-20,1.2126884614765202e-39
48,0.5383157571699482,0.2897838544174428,5.298683875056995e-21,2.807605080778665e-41
49,0.5383157571699482,0.2897838544174428,7.865447724196419e-22,6.186526790206134e-43
50,0.5383157571699482,0.2897838544174428,1.139705195954406e-22,1.2989279336853571e-44
51,0.5383157571699482,0.2897838544174428,1.612930775886781e-23,2.6015456878025037e-46
52,0.5383157571699482,0.2897838544174428,2.2306072582690605e-24,4.9756087406421825e-48
53,0.5383157571699482,0.2897838544174428,3.016025096573575e-25,9.096407383160851e-50
54,0.5383157571699482,0.2897838544174428,3.988984291112643e-26,1.5911995674742025e-51
55,0.5383157571699482,0.2897838544174428,5.163065788401191e-27,2.6657248335356434e-53
56,0.5383157571699482,0.2897838544174428,6.542823747490792e-28,4.2808542590725866e-55
57,0.5383157571699482,0.2897838544174428,8.121226078995463e-29,6.595431302615051e-57
58,0.5383157571699482,0.2897838544174428,9.87770685172347e-30,9.756909264857629e-59
59,0.5383157571699482,0.2897838544174428,1.1777179845711764e-30,1.387019651182273e-60
60,0.5383157571699482,0.2897838544174428,1.3770291587453068e-31,1.8962093040346446e-62
61,0.5383157571699482,0.2897838544174428,1.5795068378943366e-32,2.4948418509547455e-64
62,0.5383157571699482,0.2897838544174428,1.7779949225558293e-33,3.1612659446340325e-66
63,0.5383157571699482,0.2897838544174428,1.964801788908743e-34,3.860446069698663e-68
64,0.5383157571699482,0.2897838544174428,2.1322080109866598e-35,4.546311002115296e-70
65,0.5383157571699482,0.2897838544174428,2.273010374360947e-36,5.166576161952047e-72
66,0.5383157571699482,0.2897838544174428,2.3810472104301273e-37,5.669385818296606e-74
67,0.5383157571699482,0.2897838544174428,2.4516506430738667e-38,6.010590875683985e-76
68,0.5383157571699482,0.2897838544174428,2.481979222055389e-39,6.160220858714146e-78
69,0.5383157571699482,0.2897838544174428,2.4711984222854744e-40,6.106821642305697e-80
70,0.5383157571699482,0.2897838544174428,2.420494445040026e-41,5.858793358469114e-82
